date,home_team,away_team,home_score,away_score,boxscore_url
2010-04-18,Toronto Blue Jays,LA Angels of Anaheim,1,3,https://www.baseball-reference.com/boxes/TOR/TOR201004180.shtml
2010-04-18,Washington Nationals,Milwaukee Brewers,7,11,https://www.baseball-reference.com/boxes/WAS/WAS201004180.shtml
2010-04-19,LA Angels of Anaheim,Detroit Tigers,2,0,https://www.baseball-reference.com/boxes/ANA/ANA201004190.shtml
2010-04-19,Arizona D'Backs,St. Louis Cardinals,2,4,https://www.baseball-reference.com/boxes/ARI/ARI201004190.shtml
2010-04-19,Boston Red Sox,Tampa Bay Rays,2,8,https://www.baseball-reference.com/boxes/BOS/BOS201004190.shtml
2010-04-19,New York Mets,Chicago Cubs,6,1,https://www.baseball-reference.com/boxes/NYN/NYN201004190.shtml
2010-04-19,San Diego Padres,San Francisco Giants,3,2,https://www.baseball-reference.com/boxes/SDN/SDN201004190.shtml
2010-04-19,Seattle Mariners,Baltimore Orioles,8,2,https://www.baseball-reference.com/boxes/SEA/SEA201004190.shtml
2010-04-19,Toronto Blue Jays,Kansas City Royals,8,1,https://www.baseball-reference.com/boxes/TOR/TOR201004190.shtml
2010-04-19,Washington Nationals,Colorado Rockies,5,2,https://www.baseball-reference.com/boxes/WAS/WAS201004190.shtml
2010-04-20,LA Angels of Anaheim,Detroit Tigers,6,5,https://www.baseball-reference.com/boxes/ANA/ANA201004200.shtml
2010-04-20,Arizona D'Backs,St. Louis Cardinals,9,7,https://www.baseball-reference.com/boxes/ARI/ARI201004200.shtml
2010-04-20,Atlanta Braves,Philadelphia Phillies,4,3,https://www.baseball-reference.com/boxes/ATL/ATL201004200.shtml
2010-04-20,Boston Red Sox,Texas Rangers,7,6,https://www.baseball-reference.com/boxes/BOS/BOS201004200.shtml
2010-04-20,Chicago White Sox,Tampa Bay Rays,4,1,https://www.baseball-reference.com/boxes/CHA/CHA201004200.shtml
2010-04-20,Cincinnati Reds,Los Angeles Dodgers,11,9,https://www.baseball-reference.com/boxes/CIN/CIN201004200.shtml
2010-04-20,Houston Astros,Florida Marlins,7,5,https://www.baseball-reference.com/boxes/HOU/HOU201004200.shtml
2010-04-20,Minnesota Twins,Cleveland Indians,5,1,https://www.baseball-reference.com/boxes/MIN/MIN201004200.shtml
2010-04-20,New York Mets,Chicago Cubs,4,0,https://www.baseball-reference.com/boxes/NYN/NYN201004200.shtml
2010-04-20,Oakland Athletics,New York Yankees,3,7,https://www.baseball-reference.com/boxes/OAK/OAK201004200.shtml
2010-04-20,Pittsburgh Pirates,Milwaukee Brewers,1,8,https://www.baseball-reference.com/boxes/PIT/PIT201004200.shtml
2010-04-20,San Diego Padres,San Francisco Giants,1,0,https://www.baseball-reference.com/boxes/SDN/SDN201004200.shtml
2010-04-20,Seattle Mariners,Baltimore Orioles,3,1,https://www.baseball-reference.com/boxes/SEA/SEA201004200.shtml
2010-04-20,Toronto Blue Jays,Kansas City Royals,4,3,https://www.baseball-reference.com/boxes/TOR/TOR201004200.shtml
2010-04-20,Washington Nationals,Colorado Rockies,4,10,https://www.baseball-reference.com/boxes/WAS/WAS201004200.shtml
2010-04-21,LA Angels of Anaheim,Detroit Tigers,3,4,https://www.baseball-reference.com/boxes/ANA/ANA201004210.shtml
